nom,age,ori,haut,poids,s20,s21,v20,v21,rupt,c20,c21,lig20,lig21,div20,div21
L. Messi,34,Argentina,170,72,560000.0,320000.0,103500000.0,78000000.0,144300000.0,FC Barcelona,Paris Saint-Germain,Spain Primera Division,French Ligue 1,1.0,1.0
R. Lewandowski,32,Poland,185,81,240000.0,270000.0,111000000.0,119500000.0,197200000.0,FC Bayern München,FC Bayern München,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
Cristiano Ronaldo,36,Portugal,187,83,220000.0,270000.0,63000000.0,45000000.0,83300000.0,Juventus,Manchester United,Italian Serie A,English Premier League,1.0,1.0
Neymar Jr,29,Brazil,175,68,270000.0,270000.0,132000000.0,129000000.0,238700000.0,Paris Saint-Germain,Paris Saint-Germain,French Ligue 1,French Ligue 1,1.0,1.0
K. De Bruyne,30,Belgium,181,70,370000.0,350000.0,129000000.0,125500000.0,232200000.0,Manchester City,Manchester City,English Premier League,English Premier League,1.0,1.0
J. Oblak,28,Slovenia,188,87,125000.0,130000.0,120000000.0,112000000.0,238000000.0,Atlético de Madrid,Atlético de Madrid,Spain Primera Division,Spain Primera Division,1.0,1.0
K. Mbappé,22,France,182,73,160000.0,230000.0,185500000.0,194000000.0,373500000.0,Paris Saint-Germain,Paris Saint-Germain,French Ligue 1,French Ligue 1,1.0,1.0
M. Neuer,35,Germany,193,93,130000.0,86000.0,17500000.0,13500000.0,22300000.0,FC Bayern München,FC Bayern München,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
M. ter Stegen,29,Germany,187,85,260000.0,250000.0,110000000.0,99000000.0,210400000.0,FC Barcelona,FC Barcelona,Spain Primera Division,Spain Primera Division,1.0,1.0
H. Kane,27,England,188,89,220000.0,240000.0,109000000.0,129500000.0,246100000.0,Tottenham Hotspur,Tottenham Hotspur,English Premier League,English Premier League,1.0,1.0
N. Kanté,30,France,168,70,190000.0,230000.0,78000000.0,100000000.0,185000000.0,Chelsea,Chelsea,English Premier League,English Premier League,1.0,1.0
K. Benzema,33,France,185,81,350000.0,350000.0,83500000.0,66000000.0,135300000.0,Real Madrid CF,Real Madrid CF,Spain Primera Division,Spain Primera Division,1.0,1.0
T. Courtois,29,Belgium,199,96,250000.0,250000.0,82000000.0,85500000.0,181700000.0,Real Madrid CF,Real Madrid CF,Spain Primera Division,Spain Primera Division,1.0,1.0
H. Son,28,Korea Republic,183,78,165000.0,220000.0,85000000.0,104000000.0,197600000.0,Tottenham Hotspur,Tottenham Hotspur,English Premier League,English Premier League,1.0,1.0
Casemiro,29,Brazil,185,84,310000.0,310000.0,90500000.0,88000000.0,180400000.0,Real Madrid CF,Real Madrid CF,Spain Primera Division,Spain Primera Division,1.0,1.0
V. van Dijk,29,Netherlands,193,92,210000.0,230000.0,113000000.0,86000000.0,159100000.0,Liverpool,Liverpool,English Premier League,English Premier League,1.0,1.0
S. Mané,29,Senegal,175,69,250000.0,270000.0,120500000.0,101000000.0,186900000.0,Liverpool,Liverpool,English Premier League,English Premier League,1.0,1.0
M. Salah,29,Egypt,175,71,250000.0,270000.0,120500000.0,101000000.0,186900000.0,Liverpool,Liverpool,English Premier League,English Premier League,1.0,1.0
Ederson,27,Brazil,188,86,195000.0,200000.0,92000000.0,94000000.0,181000000.0,Manchester City,Manchester City,English Premier League,English Premier League,1.0,1.0
J. Kimmich,26,Germany,177,75,145000.0,160000.0,103000000.0,108000000.0,186300000.0,FC Bayern München,FC Bayern München,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
Alisson,28,Brazil,191,91,160000.0,190000.0,102000000.0,82000000.0,157900000.0,Liverpool,Liverpool,English Premier League,English Premier League,1.0,1.0
G. Donnarumma,22,Italy,196,90,34000.0,110000.0,93500000.0,119500000.0,230000000.0,AC Milan,Paris Saint-Germain,Italian Serie A,French Ligue 1,1.0,1.0
Sergio Ramos,35,Spain,184,82,300000.0,115000.0,33500000.0,24000000.0,44400000.0,Real Madrid CF,Paris Saint-Germain,Spain Primera Division,French Ligue 1,1.0,1.0
L. Suárez,34,Uruguay,182,83,280000.0,135000.0,51000000.0,44500000.0,91200000.0,FC Barcelona,Atlético de Madrid,Spain Primera Division,Spain Primera Division,1.0,1.0
T. Kroos,31,Germany,183,76,310000.0,310000.0,87500000.0,75000000.0,153800000.0,Real Madrid CF,Real Madrid CF,Spain Primera Division,Spain Primera Division,1.0,1.0
R. Lukaku,28,Belgium,191,94,165000.0,260000.0,63000000.0,93500000.0,173000000.0,Inter,Chelsea,Italian Serie A,English Premier League,1.0,1.0
K. Navas,34,Costa Rica,185,80,110000.0,130000.0,26000000.0,15500000.0,28700000.0,Paris Saint-Germain,Paris Saint-Germain,French Ligue 1,French Ligue 1,1.0,1.0
R. Sterling,26,England,170,69,270000.0,290000.0,114500000.0,107500000.0,206900000.0,Manchester City,Manchester City,English Premier League,English Premier League,1.0,1.0
Bruno Fernandes,26,Portugal,179,69,195000.0,250000.0,105500000.0,107500000.0,206900000.0,Manchester United,Manchester United,English Premier League,English Premier League,1.0,1.0
E. Haaland,20,Norway,194,94,56000.0,110000.0,92000000.0,137500000.0,244100000.0,Borussia Dortmund,Borussia Dortmund,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
S. Agüero,33,Argentina,173,70,300000.0,260000.0,83500000.0,51000000.0,104600000.0,Manchester City,FC Barcelona,English Premier League,Spain Primera Division,1.0,1.0
H. Lloris,34,France,188,82,125000.0,125000.0,26000000.0,13500000.0,25700000.0,Tottenham Hotspur,Tottenham Hotspur,English Premier League,English Premier League,1.0,1.0
L. Modrić,35,Croatia,172,66,260000.0,190000.0,36500000.0,32000000.0,65600000.0,Real Madrid CF,Real Madrid CF,Spain Primera Division,Spain Primera Division,1.0,1.0
Á. Di María,33,Argentina,180,69,160000.0,160000.0,63000000.0,49500000.0,91600000.0,Paris Saint-Germain,Paris Saint-Germain,French Ligue 1,French Ligue 1,1.0,1.0
W. Szczęsny,31,Poland,195,90,105000.0,105000.0,53000000.0,42000000.0,69300000.0,Juventus,Juventus,Italian Serie A,Italian Serie A,1.0,1.0
T. Müller,31,Germany,185,76,130000.0,140000.0,65500000.0,66000000.0,108900000.0,FC Bayern München,FC Bayern München,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
C. Immobile,31,Italy,185,85,125000.0,125000.0,78000000.0,67500000.0,114800000.0,Lazio,Lazio,Italian Serie A,Italian Serie A,1.0,1.0
P. Pogba,28,France,191,84,190000.0,220000.0,77500000.0,79500000.0,147100000.0,Manchester United,Manchester United,English Premier League,English Premier League,1.0,1.0
M. Verratti,28,Italy,165,60,135000.0,155000.0,77500000.0,79500000.0,147100000.0,Paris Saint-Germain,Paris Saint-Germain,French Ligue 1,French Ligue 1,1.0,1.0
Marquinhos,27,Brazil,183,75,115000.0,135000.0,66000000.0,90500000.0,174200000.0,Paris Saint-Germain,Paris Saint-Germain,French Ligue 1,French Ligue 1,1.0,1.0
L. Goretzka,26,Germany,189,82,105000.0,140000.0,58500000.0,93000000.0,160400000.0,FC Bayern München,FC Bayern München,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
P. Dybala,27,Argentina,177,75,190000.0,160000.0,109000000.0,93000000.0,160400000.0,Juventus,Juventus,Italian Serie A,Italian Serie A,1.0,1.0
A. Robertson,27,Scotland,178,64,155000.0,175000.0,90500000.0,83500000.0,160700000.0,Liverpool,Liverpool,English Premier League,English Premier League,1.0,1.0
F. de Jong,24,Netherlands,180,74,190000.0,210000.0,81000000.0,119500000.0,253900000.0,FC Barcelona,FC Barcelona,Spain Primera Division,Spain Primera Division,1.0,1.0
T. Alexander-Arnold,22,England,180,69,110000.0,150000.0,114000000.0,114000000.0,219500000.0,Liverpool,Liverpool,English Premier League,English Premier League,1.0,1.0
J. Sancho,21,England,180,76,82000.0,150000.0,124000000.0,116500000.0,224300000.0,Borussia Dortmund,Manchester United,German 1. Bundesliga,English Premier League,1.0,1.0
Rúben Dias,24,Portugal,187,82,15000.0,170000.0,37000000.0,102500000.0,197300000.0,SL Benfica,Manchester City,Portuguese Liga ZON SAGRES,English Premier League,1.0,1.0
G. Chiellini,36,Italy,187,85,95000.0,88000.0,21000000.0,12000000.0,19800000.0,Juventus,Juventus,Italian Serie A,Italian Serie A,1.0,1.0
S. Handanovič,36,Slovenia,193,92,100000.0,78000.0,10000000.0,7500000.0,12800000.0,Inter,Inter,Italian Serie A,Italian Serie A,1.0,1.0
M. Hummels,32,Germany,191,96,95000.0,95000.0,46500000.0,44000000.0,74800000.0,Borussia Dortmund,Borussia Dortmund,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
Jordi Alba,32,Spain,170,68,220000.0,200000.0,49500000.0,47000000.0,96400000.0,FC Barcelona,FC Barcelona,Spain Primera Division,Spain Primera Division,1.0,1.0
Thiago,30,Spain,174,70,150000.0,180000.0,52500000.0,65000000.0,120300000.0,Liverpool,Liverpool,English Premier League,English Premier League,1.0,1.0
Sergio Busquets,32,Spain,189,76,240000.0,200000.0,56000000.0,45000000.0,92300000.0,FC Barcelona,FC Barcelona,Spain Primera Division,Spain Primera Division,1.0,1.0
Parejo,32,Spain,182,74,59000.0,64000.0,44000000.0,53500000.0,112400000.0,Villarreal CF,Villarreal CF,Spain Primera Division,Spain Primera Division,1.0,1.0
K. Casteels,29,Belgium,197,86,53000.0,88000.0,31000000.0,52000000.0,92300000.0,VfL Wolfsburg,VfL Wolfsburg,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
L. Insigne,30,Italy,163,59,120000.0,125000.0,53000000.0,65500000.0,111400000.0,Napoli,Napoli,Italian Serie A,Italian Serie A,1.0,1.0
K. Koulibaly,30,Senegal,187,89,140000.0,105000.0,76500000.0,55500000.0,94400000.0,Napoli,Napoli,Italian Serie A,Italian Serie A,1.0,1.0
R. Varane,28,France,191,81,220000.0,180000.0,72500000.0,68500000.0,131900000.0,Real Madrid CF,Manchester United,Spain Primera Division,English Premier League,1.0,1.0
R. Mahrez,30,Algeria,179,67,210000.0,220000.0,53000000.0,65500000.0,121200000.0,Manchester City,Manchester City,English Premier League,English Premier League,1.0,1.0
Gerard Moreno,29,Spain,180,77,56000.0,73000.0,37000000.0,68000000.0,142800000.0,Villarreal CF,Villarreal CF,Spain Primera Division,Spain Primera Division,1.0,1.0
J. Vardy,34,England,179,74,160000.0,180000.0,43500000.0,33000000.0,62700000.0,Leicester City,Leicester City,English Premier League,English Premier League,1.0,1.0
Fabinho,27,Brazil,188,78,155000.0,165000.0,88500000.0,73500000.0,141500000.0,Liverpool,Liverpool,English Premier League,English Premier League,1.0,1.0
João Cancelo,27,Portugal,182,74,140000.0,185000.0,43500000.0,71500000.0,137600000.0,Manchester City,Manchester City,English Premier League,English Premier League,1.0,1.0
A. Laporte,27,Spain,191,85,200000.0,185000.0,92500000.0,77000000.0,148200000.0,Manchester City,Manchester City,English Premier League,English Premier League,1.0,1.0
K. Coman,25,France,180,76,95000.0,120000.0,60500000.0,81000000.0,139700000.0,FC Bayern München,FC Bayern München,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
Bernardo Silva,26,Portugal,173,64,230000.0,200000.0,95000000.0,80000000.0,154000000.0,Manchester City,Manchester City,English Premier League,English Premier League,1.0,1.0
Marcos Llorente,26,Spain,184,74,65000.0,95000.0,40000000.0,88000000.0,187000000.0,Atlético de Madrid,Atlético de Madrid,Spain Primera Division,Spain Primera Division,1.0,1.0
Rodri,25,Spain,191,82,145000.0,175000.0,66500000.0,81000000.0,155900000.0,Manchester City,Manchester City,English Premier League,English Premier League,1.0,1.0
M. Škriniar,26,Slovakia,188,80,130000.0,150000.0,67000000.0,74000000.0,131400000.0,Inter,Inter,Italian Serie A,Italian Serie A,1.0,1.0
A. Gómez,33,Argentina,167,68,100000.0,51000.0,54000000.0,33500000.0,70400000.0,Atalanta,Sevilla FC,Italian Serie A,Spain Primera Division,1.0,1.0
K. Schmeichel,34,Denmark,189,89,90000.0,115000.0,13500000.0,9000000.0,17100000.0,Leicester City,Leicester City,English Premier League,English Premier League,1.0,1.0
Thiago Silva,36,Brazil,183,79,95000.0,105000.0,14500000.0,9500000.0,17600000.0,Chelsea,Chelsea,English Premier League,English Premier League,1.0,1.0
David Silva,35,Spain,173,67,58000.0,44000.0,32000000.0,22000000.0,46200000.0,Real Sociedad,Real Sociedad,Spain Primera Division,Spain Primera Division,1.0,1.0
Y. Sommer,32,Switzerland,183,79,55000.0,40000.0,36000000.0,26500000.0,45100000.0,Borussia Mönchengladbach,Borussia Mönchengladbach,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
E. Cavani,34,Uruguay,185,77,,190000.0,,26000000.0,48100000.0,,Manchester United,,English Premier League,,1.0
E. Hazard,30,Belgium,175,74,350000.0,240000.0,89500000.0,52000000.0,106600000.0,Real Madrid CF,Real Madrid CF,Spain Primera Division,Spain Primera Division,1.0,1.0
L. Bonucci,34,Italy,190,85,110000.0,110000.0,26000000.0,17500000.0,28900000.0,Juventus,Juventus,Italian Serie A,Italian Serie A,1.0,1.0
P. Gulácsi,31,Hungary,191,86,65000.0,87000.0,36000000.0,28500000.0,48500000.0,RB Leipzig,RB Leipzig,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
İ. Gündoğan,30,Germany,180,80,160000.0,185000.0,35500000.0,51500000.0,95300000.0,Manchester City,Manchester City,English Premier League,English Premier League,1.0,1.0
M. Reus,32,Germany,180,71,95000.0,95000.0,44500000.0,43000000.0,73100000.0,Borussia Dortmund,Borussia Dortmund,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
K. Walker,31,England,183,83,170000.0,170000.0,46500000.0,39000000.0,72200000.0,Manchester City,Manchester City,English Premier League,English Premier League,1.0,1.0
P. Aubameyang,32,Gabon,187,80,170000.0,145000.0,67500000.0,43500000.0,82700000.0,Arsenal,Arsenal,English Premier League,English Premier League,1.0,1.0
Koke,29,Spain,176,75,90000.0,90000.0,54000000.0,52500000.0,107600000.0,Atlético de Madrid,Atlético de Madrid,Spain Primera Division,Spain Primera Division,1.0,1.0
A. Griezmann,30,France,176,73,290000.0,220000.0,79500000.0,53000000.0,,FC Barcelona,Atlético de Madrid,Spain Primera Division,Spain Primera Division,1.0,1.0
S. de Vrij,29,Netherlands,189,78,130000.0,145000.0,40000000.0,45000000.0,76500000.0,Inter,Inter,Italian Serie A,Italian Serie A,1.0,1.0
Roberto Firmino,29,Brazil,181,76,190000.0,185000.0,81500000.0,54000000.0,99900000.0,Liverpool,Liverpool,English Premier League,English Premier League,1.0,1.0
M. Depay,27,Netherlands,176,78,115000.0,220000.0,71500000.0,63000000.0,133900000.0,Olympique Lyonnais,FC Barcelona,French Ligue 1,Spain Primera Division,1.0,1.0
Carvajal,29,Spain,173,73,230000.0,210000.0,61500000.0,47500000.0,97400000.0,Real Madrid CF,Real Madrid CF,Spain Primera Division,Spain Primera Division,1.0,1.0
Jorginho,29,Italy,180,68,125000.0,170000.0,36500000.0,52500000.0,97100000.0,Chelsea,Chelsea,English Premier League,English Premier League,1.0,1.0
S. Gnabry,25,Germany,176,77,100000.0,110000.0,70000000.0,64500000.0,111300000.0,FC Bayern München,FC Bayern München,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
S. Milinković-Savić,26,Serbia,191,76,95000.0,100000.0,74500000.0,66000000.0,117200000.0,Lazio,Lazio,Italian Serie A,Italian Serie A,1.0,1.0
W. Ndidi,24,Nigeria,183,74,95000.0,120000.0,55000000.0,66500000.0,131300000.0,Leicester City,Leicester City,English Premier League,English Premier League,1.0,1.0
Oyarzabal,24,Spain,181,79,47000.0,57000.0,66500000.0,77500000.0,168600000.0,Real Sociedad,Real Sociedad,Spain Primera Division,Spain Primera Division,1.0,1.0
L. Martínez,23,Argentina,174,72,130000.0,145000.0,86500000.0,78000000.0,138500000.0,Inter,Inter,Italian Serie A,Italian Serie A,1.0,1.0
M. Rashford,23,England,186,70,150000.0,150000.0,86500000.0,77500000.0,149200000.0,Manchester United,Manchester United,English Premier League,English Premier League,1.0,1.0
A. Hakimi,22,Morocco,181,73,90000.0,100000.0,56000000.0,69500000.0,133800000.0,Inter,Paris Saint-Germain,Italian Serie A,French Ligue 1,1.0,1.0
M. de Ligt,21,Netherlands,189,89,81000.0,81000.0,99000000.0,75000000.0,129400000.0,Juventus,Juventus,Italian Serie A,Italian Serie A,1.0,1.0
Z. Ibrahimović,39,Sweden,195,95,49000.0,51000.0,12500000.0,14500000.0,24700000.0,AC Milan,AC Milan,Italian Serie A,Italian Serie A,1.0,1.0
Jesús Navas,35,Spain,172,60,43000.0,30000.0,15500000.0,13000000.0,27300000.0,Sevilla FC,Sevilla FC,Spain Primera Division,Spain Primera Division,1.0,1.0
Piqué,34,Spain,194,85,220000.0,175000.0,32500000.0,13500000.0,27700000.0,FC Barcelona,FC Barcelona,Spain Primera Division,Spain Primera Division,1.0,1.0
D. Mertens,34,Belgium,169,61,115000.0,105000.0,34500000.0,20500000.0,34900000.0,Napoli,Napoli,Italian Serie A,Italian Serie A,1.0,1.0
G. Wijnaldum,30,Netherlands,175,74,150000.0,115000.0,52500000.0,40500000.0,74900000.0,Liverpool,Paris Saint-Germain,English Premier League,French Ligue 1,1.0,1.0
J. Henderson,31,England,182,80,140000.0,140000.0,57000000.0,29500000.0,54600000.0,Liverpool,Liverpool,English Premier League,English Premier League,1.0,1.0
Fernando,33,Brazil,183,76,39000.0,43000.0,24000000.0,21000000.0,44100000.0,Sevilla FC,Sevilla FC,Spain Primera Division,Spain Primera Division,1.0,1.0
K. Trippier,30,England,173,69,71000.0,74000.0,32000000.0,36500000.0,74800000.0,Atlético de Madrid,Atlético de Madrid,Spain Primera Division,Spain Primera Division,1.0,1.0
Iago Aspas,33,Spain,176,67,46000.0,46000.0,34000000.0,27000000.0,56700000.0,RC Celta de Vigo,RC Celta de Vigo,Spain Primera Division,Spain Primera Division,1.0,1.0
De Gea,30,Spain,192,82,150000.0,120000.0,46500000.0,28000000.0,51800000.0,Manchester United,Manchester United,English Premier League,English Premier League,1.0,1.0
D. Alaba,29,Austria,180,78,105000.0,195000.0,36500000.0,35500000.0,72800000.0,FC Bayern München,Real Madrid CF,German 1. Bundesliga,Spain Primera Division,1.0,1.0
Luis Alberto,28,Spain,183,74,100000.0,95000.0,62000000.0,42500000.0,72300000.0,Lazio,Lazio,Italian Serie A,Italian Serie A,1.0,1.0
D. Tadić,32,Serbia,181,76,30000.0,32000.0,30500000.0,33500000.0,46900000.0,Ajax,Ajax,Holland Eredivisie,Holland Eredivisie,1.0,1.0
W. Ben Yedder,30,France,170,68,90000.0,88000.0,42000000.0,41500000.0,78900000.0,AS Monaco,AS Monaco,French Ligue 1,French Ligue 1,1.0,1.0
L. Digne,27,France,178,74,110000.0,110000.0,45500000.0,40500000.0,77000000.0,Everton,Everton,English Premier League,English Premier League,1.0,1.0
J. Iličić,33,Slovenia,190,79,90000.0,84000.0,34000000.0,27000000.0,45900000.0,Atalanta,Atalanta,Italian Serie A,Italian Serie A,1.0,1.0
E. Martínez,28,Argentina,195,88,43000.0,81000.0,14000000.0,33500000.0,66200000.0,Aston Villa,Aston Villa,English Premier League,English Premier League,1.0,1.0
H. Maguire,28,England,194,100,120000.0,155000.0,34500000.0,42500000.0,81800000.0,Manchester United,Manchester United,English Premier League,English Premier League,1.0,1.0
S. Savić,30,Montenegro,187,80,60000.0,74000.0,24000000.0,34500000.0,70700000.0,Atlético de Madrid,Atlético de Madrid,Spain Primera Division,Spain Primera Division,1.0,1.0
M. Sabitzer,27,Austria,178,76,74000.0,110000.0,44500000.0,48000000.0,82800000.0,RB Leipzig,FC Bayern München,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
L. Shaw,25,England,181,75,95000.0,140000.0,31000000.0,48500000.0,93400000.0,Manchester United,Manchester United,English Premier League,English Premier League,1.0,1.0
J. Grealish,25,England,180,81,65000.0,180000.0,29000000.0,50500000.0,97200000.0,Aston Villa,Manchester City,English Premier League,English Premier League,1.0,1.0
M. Ginter,27,Germany,191,86,48000.0,45000.0,31500000.0,42500000.0,75400000.0,Borussia Mönchengladbach,Borussia Mönchengladbach,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
Felipe,32,Brazil,190,84,74000.0,74000.0,29000000.0,27500000.0,56400000.0,Atlético de Madrid,Atlético de Madrid,Spain Primera Division,Spain Primera Division,1.0,1.0
Y. Carrasco,27,Belgium,185,73,68000.0,81000.0,33500000.0,45000000.0,92300000.0,Atlético de Madrid,Atlético de Madrid,Spain Primera Division,Spain Primera Division,1.0,1.0
F. Kostić,28,Serbia,184,82,45000.0,52000.0,38500000.0,42500000.0,72300000.0,Eintracht Frankfurt,Eintracht Frankfurt,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
H. Ziyech,28,Morocco,181,65,140000.0,170000.0,62000000.0,42500000.0,78600000.0,Chelsea,Chelsea,English Premier League,English Premier League,1.0,1.0
R. Guerreiro,27,Portugal,170,71,86000.0,79000.0,49500000.0,40500000.0,68900000.0,Borussia Dortmund,Borussia Dortmund,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
Ricardo Pereira,27,Portugal,175,70,120000.0,130000.0,61000000.0,40500000.0,77000000.0,Leicester City,Leicester City,English Premier League,English Premier League,1.0,1.0
T. Werner,25,Germany,180,76,135000.0,155000.0,74500000.0,56500000.0,108800000.0,Chelsea,Chelsea,English Premier League,English Premier League,1.0,1.0
M. Maignan,25,France,191,89,31000.0,45000.0,34500000.0,49500000.0,87900000.0,LOSC Lille,AC Milan,French Ligue 1,Italian Serie A,1.0,1.0
M. Brozović,28,Croatia,181,68,125000.0,130000.0,43000000.0,37000000.0,62900000.0,Inter,Inter,Italian Serie A,Italian Serie A,1.0,1.0
Y. Tielemans,24,Belgium,176,72,82000.0,125000.0,36500000.0,57000000.0,112600000.0,Leicester City,Leicester City,English Premier League,English Premier League,1.0,1.0
J. Giménez,26,Uruguay,185,79,71000.0,74000.0,52500000.0,52000000.0,110500000.0,Atlético de Madrid,Atlético de Madrid,Spain Primera Division,Spain Primera Division,1.0,1.0
N. Fekir,27,France,173,75,38000.0,42000.0,43000000.0,45000000.0,94500000.0,Real Betis Balompié,Real Betis Balompié,Spain Primera Division,Spain Primera Division,1.0,1.0
L. Sané,25,Germany,183,80,100000.0,105000.0,81500000.0,56000000.0,96600000.0,FC Bayern München,FC Bayern München,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
N. Barella,24,Italy,172,68,86000.0,120000.0,42000000.0,63500000.0,112700000.0,Inter,Inter,Italian Serie A,Italian Serie A,1.0,1.0
M. Acuña,29,Argentina,172,69,41000.0,45000.0,33000000.0,37000000.0,77700000.0,Sevilla FC,Sevilla FC,Spain Primera Division,Spain Primera Division,1.0,1.0
André Silva,25,Portugal,185,84,32000.0,110000.0,27000000.0,51000000.0,90500000.0,Eintracht Frankfurt,RB Leipzig,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
F. Kessié,24,Côte d'Ivoire,183,88,33000.0,51000.0,16000000.0,49500000.0,87900000.0,AC Milan,AC Milan,Italian Serie A,Italian Serie A,1.0,1.0
T. Hernández,23,France,184,81,37000.0,51000.0,30000000.0,62500000.0,118800000.0,AC Milan,AC Milan,Italian Serie A,Italian Serie A,1.0,1.0
K. Havertz,22,Germany,188,82,105000.0,130000.0,121000000.0,94500000.0,193700000.0,Chelsea,Chelsea,English Premier League,English Premier League,1.0,1.0
P. Foden,21,England,171,69,86000.0,125000.0,38500000.0,94500000.0,193700000.0,Manchester City,Manchester City,English Premier League,English Premier League,1.0,1.0
Fernandinho,36,Brazil,179,67,110000.0,100000.0,11000000.0,7000000.0,13000000.0,Manchester City,Manchester City,English Premier League,English Premier League,1.0,1.0
C. Vela,32,Mexico,177,77,17000.0,17000.0,30000000.0,29000000.0,43500000.0,Los Angeles FC,Los Angeles FC,USA Major League Soccer,USA Major League Soccer,1.0,1.0
A. Witsel,32,Belgium,186,81,79000.0,72000.0,29500000.0,24000000.0,40800000.0,Borussia Dortmund,Borussia Dortmund,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
Sergio Asenjo,32,Spain,189,87,34000.0,37000.0,16000000.0,18000000.0,37800000.0,Villarreal CF,Villarreal CF,Spain Primera Division,Spain Primera Division,1.0,1.0
S. Kjær,32,Denmark,190,86,43000.0,54000.0,14500000.0,23500000.0,40000000.0,AC Milan,AC Milan,Italian Serie A,Italian Serie A,1.0,1.0
E. Džeko,35,Bosnia and Herzegovina,193,80,32000.0,105000.0,17500000.0,15500000.0,26400000.0,Roma,Inter,Italian Serie A,Italian Serie A,1.0,1.0
J. Boateng,32,Germany,190,94,82000.0,81000.0,21000000.0,23500000.0,44700000.0,FC Bayern München,Olympique Lyonnais,German 1. Bundesliga,French Ligue 1,1.0,1.0
T. Alderweireld,32,Belgium,186,81,130000.0,,37000000.0,,,Tottenham Hotspur,,English Premier League,,1.0,
Azpilicueta,31,Spain,178,77,120000.0,125000.0,36500000.0,25000000.0,46300000.0,Chelsea,Chelsea,English Premier League,English Premier League,1.0,1.0
Paulinho,32,Brazil,183,80,39000.0,61000.0,30000000.0,28500000.0,48500000.0,Guangzhou FC,Al Ahli,Chinese Super League,Saudi Abdul L. Jameel League,1.0,1.0
Muniain,28,Spain,170,66,41000.0,44000.0,38500000.0,36500000.0,76700000.0,Athletic Club de Bilbao,Athletic Club de Bilbao,Spain Primera Division,Spain Primera Division,1.0,1.0
Canales,30,Spain,176,65,36000.0,38000.0,29500000.0,34500000.0,72500000.0,Real Betis Balompié,Real Betis Balompié,Spain Primera Division,Spain Primera Division,1.0,1.0
L. Hrádecký,31,Finland,192,83,64000.0,55000.0,24000000.0,19000000.0,32300000.0,Bayer 04 Leverkusen,Bayer 04 Leverkusen,German 1. Bundesliga,German 1. Bundesliga,1.0,1.0
Alex Sandro,30,Brazil,180,80,120000.0,95000.0,47500000.0,31500000.0,52000000.0,Juventus,Juventus,Italian Serie A,Italian Serie A,1.0,1.0
B. Leno,29,Germany,190,83,105000.0,87000.0,46000000.0,28000000.0,55300000.0,Arsenal,Arsenal,English Premier League,English Premier League,1.0,1.0
K. Manolas,30,Greece,189,83,84000.0,80000.0,33500000.0,30000000.0,51000000.0,Napoli,Napoli,Italian Serie A,Italian Serie A,1.0,1.0
H. Mkhitaryan,32,Armenia,177,75,23000.0,82000.0,17500000.0,29500000.0,50200000.0,Roma,Roma,Italian Serie A,Italian Serie A,1.0,1.0
J. Cuadrado,33,Colombia,179,72,80000.0,95000.0,18000000.0,19000000.0,31400000.0,Juventus,Juventus,Italian Serie A,Italian Serie A,1.0,1.0
J. Matip,29,Cameroon,194,90,115000.0,130000.0,34500000.0,30500000.0,56400000.0,Liverpool,Liverpool,English Premier League,English Premier League,1.0,1.0
S. Coates,30,Uruguay,196,92,19000.0,21000.0,21500000.0,30000000.0,60000000.0,Sporting CP,Sporting CP,Portuguese Liga ZON SAGRES,Portuguese Liga ZON SAGRES,1.0,1.0
F. Acerbi,33,Italy,192,88,75000.0,75000.0,23500000.0,17500000.0,29800000.0,Lazio,Lazio,Italian Serie A,Italian Serie A,1.0,1.0
Allan,30,Brazil,175,74,115000.0,100000.0,35500000.0,30500000.0,58000000.0,Everton,Everton,English Premier League,English Premier League,1.0,1.0
K. Volland,28,Germany,179,85,68000.0,83000.0,28000000.0,37000000.0,70300000.0,AS Monaco,AS Monaco,French Ligue 1,French Ligue 1,1.0,1.0
Morata,28,Spain,190,84,74000.0,84000.0,35500000.0,37000000.0,,Atlético de Madrid,Juventus,Spain Primera Division,Italian Serie A,1.0,1.0
M. Icardi,28,Argentina,181,75,135000.0,120000.0,63000000.0,37000000.0,68500000.0,Paris Saint-Germain,Paris Saint-Germain,French Ligue 1,French Ligue 1,1.0,1.0
