nom,age,ori,haut,poids,s20,s21,v20,v21,rupt,c20,c21,lig20,lig21,div20,div21
B. Bye,25,United States,183,79,2000.0,4000.0,1200000.0,1700000.0,2700000.0,New England Revolution,New England Revolution,USA Major League Soccer,USA Major League Soccer,1.0,1.0
C. Mueller,24,United States,175,74,4000.0,4000.0,1800000.0,1900000.0,3000000.0,Orlando City Soccer Club,Orlando City Soccer Club,USA Major League Soccer,USA Major League Soccer,1.0,1.0
N. Ferguson,20,England,178,70,11000.0,15000.0,3200000.0,2900000.0,6100000.0,Crystal Palace,Crystal Palace,English Premier League,English Premier League,1.0,1.0
G. Kharaishvili,24,Georgia,183,73,2000.0,500.0,2100000.0,2000000.0,4600000.0,IFK Göteborg,Ferencvárosi TC,Swedish Allsvenskan,Hungarian Nemzeti Bajnokság I,1.0,1.0
K. Sessa,20,Germany,175,70,2000.0,9000.0,775000.0,2700000.0,4900000.0,1. FC Heidenheim 1846,1. FC Heidenheim 1846,German 2. Bundesliga,German 2. Bundesliga,2.0,2.0
J. Mora,28,Costa Rica,171,60,3000.0,4000.0,1300000.0,1300000.0,2000000.0,D.C. United,D.C. United,USA Major League Soccer,USA Major League Soccer,1.0,1.0
Hugo Duro,21,Spain,180,76,9000.0,10000.0,2900000.0,3500000.0,,Real Madrid CF,Valencia CF,Spain Primera Division,Spain Primera Division,1.0,1.0
F. Apaolaza,24,Argentina,187,79,4000.0,6000.0,1600000.0,2100000.0,3300000.0,Estudiantes de La Plata,Estudiantes de La Plata,Argentina Primera División,Argentina Primera División,1.0,1.0
K. Agudelo,22,Colombia,178,70,3000.0,8000.0,1100000.0,3100000.0,,Spezia,Spezia,Italian Serie A,Italian Serie A,1.0,1.0
M. Wintzheimer,22,Germany,180,77,3000.0,7000.0,1400000.0,2300000.0,4100000.0,Hamburger SV,Hamburger SV,German 2. Bundesliga,German 2. Bundesliga,2.0,2.0
I. Poveda,21,England,167,64,11000.0,23000.0,950000.0,3100000.0,,Leeds United,Blackburn Rovers,English Premier League,English League Championship,1.0,2.0
R. Matondo,20,Wales,175,66,8000.0,5000.0,3800000.0,3400000.0,,FC Schalke 04,KSV Cercle Brugge,German 1. Bundesliga,Belgian Jupiler Pro League,1.0,1.0
